gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
PTGER4	2.03147940473381e-09	-0.387784210614614	0.228	0.54	7.43541776926622e-05	340	0.494471565509494	1.02927984535962	1.16819770039706	1.39416460374021	2.3348933362267	1.24890535493538	0.323333387457725	1490	74	0.603383587808824	0.927197887050753	1.16129568833083	1.4498893295844	2.76512042763226	1.26123653866584	0.437670822854558	137
PTPN6	7.46374829468896e-07	-0.314131825946105	0.258	0.511	0.0273180651333911	384	0.596779385110497	1.05286413385376	1.18083162962467	1.44367957821206	2.75610317393711	1.27440279552142	0.331283028260988	1490	70	0.71397911879888	0.856936489224972	1.26185468407996	1.56339595037547	2.32401285607585	1.27526752026887	0.43568141916166	137
PYHIN1	9.82569561360948e-07	-0.269013139598142	0.501	0.715	0.0359630285153721	746	0.573841904881098	1.09608535555065	1.28454212205863	1.63937757455706	3.04719302283314	1.38824382375737	0.374490495218678	1490	98	0.726984600209139	1.05341044999307	1.45433982767096	1.78670793991651	2.51345504939002	1.45738822626875	0.460709406072009	137
RAB8B	5.62436650447443e-06	-0.25103364306051	0.322	0.577	0.205857438430269	480	0.494471565509494	1.05591244538275	1.18799646552795	1.53080577591098	2.61356037049798	1.29815491000543	0.334630026424834	1490	79	0.712281598306831	0.93157584050048	1.15765230735293	1.40583614281058	2.472485825393	1.1926619955488	0.334732431840998	137
RESF1	7.69526799291828e-10	-0.308077722273948	0.544	0.825	2.81654503808802e-05	810	0.607807206265951	1.12362384257851	1.42021410426395	1.74949937506268	2.98731654613866	1.47196711824535	0.413709281356819	1490	113	0.707030621198177	1.01263614967657	1.43998012138993	1.91663754078436	3.03909648843743	1.48971901047907	0.504437394666699	137
RIF1	7.21462122967423e-06	-0.264089821499589	0.193	0.438	0.264062351627306	288	0.573841904881098	1.00775115434747	1.16877023061488	1.44560731467911	2.5257976471029	1.26571351395034	0.353971929201658	1490	60	0.603383587808824	0.860960879050494	1.03352554634195	1.34518423473656	2.22177454674826	1.12949790753474	0.357344835500622	137
RIPOR2	4.24214050048983e-09	-0.285518226131662	0.639	0.839	0.000155266584458428	952	0.626313181085897	1.14129988698516	1.44268980170209	1.80816212680965	2.98785318981784	1.50995001356102	0.431678218827083	1490	115	0.707030621198177	1.2377453635105	1.68094510288776	2.03704982677431	3.32710777354797	1.66154488005394	0.515951308418699	137
RPS10	1.17915602452934e-14	0.259342866485509	0.955	0.92	4.31582896537985e-10	1423	0.849743409943838	2.38845356284714	2.89289382732887	3.28974275186818	4.11707636693065	2.80098532339546	0.625556406289086	1490	126	0.923979119172879	1.90911670117351	2.39933164674969	2.61563353670774	3.16206488980189	2.25112258931486	0.525461012553532	137
RPS26	1.26409007850352e-15	0.317246398870466	0.95	0.92	4.62669609633075e-11	1415	0.928492127710595	2.21102655549515	2.89217851903389	3.32742699851118	4.14888924321886	2.74709494824961	0.721641754131211	1490	126	0.798966306636266	1.63609527766954	1.93001763585277	2.2763703435199	4.1908654538757	2.06200080565986	0.730277330930418	137
SAMD3	1.24291677189322e-09	-0.294899211867492	0.558	0.825	4.54919967680639e-05	831	0.573841904881098	1.13574578632523	1.41117602749663	1.74130360427001	2.83515159001257	1.47147796193867	0.40853645692681	1490	113	0.707917591932575	1.14963232167946	1.42277444949045	1.8304949732744	2.74900090503774	1.49559933430258	0.469008392528267	137
SAMD9L	6.01358299847956e-06	-0.267932868169919	0.213	0.445	0.220103151327351	317	0.573841904881098	1.03142284418031	1.14698627085767	1.40569098713815	2.11360385508445	1.22513618126551	0.283757281978089	1490	61	0.722976748777436	0.911784539435766	1.11652807730973	1.34465938846831	2.24671921494091	1.16320835600258	0.340289566862603	137
SAMHD1	3.30268846750134e-06	-0.250532097592255	0.477	0.708	0.120881700599017	711	0.573841904881098	1.09801275932903	1.27554299682719	1.64004763836249	2.89289382732887	1.39351637215134	0.395019478506455	1490	97	0.707030621198177	1.04917256292988	1.34570908100481	1.69750433777891	2.69133630810216	1.38512997872111	0.441547060072181	137
SEMA4D	3.4753573766948e-07	-0.28646443659288	0.374	0.664	0.0127201555344406	558	0.573841904881098	1.05207452444201	1.20091333934644	1.51206053379658	3.07355205239854	1.3026667631342	0.354034062400677	1490	91	0.652173805748157	0.840704293244244	1.14231531894381	1.43631568522127	2.38454827428792	1.22644486969609	0.45751245875333	137
SLFN5	2.41825789382401e-06	-0.281609460110122	0.393	0.628	0.0885106571718525	585	0.494471565509494	1.07036475103979	1.24145063066664	1.62563259835408	2.66943642259855	1.36676741620579	0.39032330068683	1490	86	0.726984600209139	0.959467439802197	1.35476161914038	1.70907750304097	2.9669819002061	1.38248095910648	0.458341780689908	137
SMARCA5	6.58526168628223e-06	-0.257960667501976	0.322	0.577	0.241027162979616	480	0.596779385110497	1.05298501594077	1.18878965154941	1.51565423334373	2.95914793585463	1.31953717336585	0.377528391050315	1490	79	0.428914640968954	0.893102205282162	1.16072954263677	1.48282044544978	2.20365030225719	1.22103305497383	0.385285588581071	137
SP140L	1.71200445418446e-05	-0.25726460226297	0.199	0.416	0.626610750276053	297	0.573841904881098	0.99489805080823	1.1184660819427	1.29560997417724	2.94538684653599	1.19832783362354	0.331981274585241	1490	57	0.712281598306831	0.879725634844509	1.0503795899038	1.35289716321456	2.29782894816441	1.1553664961097	0.370652523930227	137
SPN	2.06812970843579e-06	-0.252032594587749	0.585	0.774	0.0756956154584585	871	0.573841904881098	1.11219461235145	1.3675415044473	1.77203522435088	3.1622815318928	1.47615813309889	0.457417187138745	1490	106	0.707030621198177	1.16549353808725	1.56351146125799	1.97322900629656	2.91050853604249	1.57486349785732	0.53010743925761	137
STAT1	8.5876533289104e-10	-0.445371845116549	0.233	0.526	3.14316699491449e-05	347	0.494471565509494	1.0185892531368	1.15451872222323	1.4130550405798	2.96990072294345	1.26433264215914	0.368364088896099	1490	72	0.707030621198177	0.98264121024671	1.34455453182269	1.7883586460276	2.86229517162776	1.45105992404943	0.518483875353827	137
STK17A	1.35875940210546e-06	-0.266544060142952	0.468	0.708	0.0497319528764618	697	0.60609792722144	1.09357115302542	1.26943847996508	1.65085101459105	2.72736383616425	1.38612510005395	0.389341069533615	1490	97	0.652173805748157	0.96627414888355	1.35289716321456	1.68917491877546	2.66756327108501	1.38823173332702	0.471137569903705	137
STK38	1.1162458486233e-06	-0.282270500133504	0.315	0.584	0.0408557143054613	470	0.573841904881098	1.06212314292457	1.19285398204106	1.50766526428627	2.52632685429779	1.29473172217304	0.336444441132069	1490	80	0.428914640968954	0.917881829304322	1.15320893713135	1.48324653180034	2.32401285607585	1.2206219561708	0.400585650310334	137
SYNGR1	4.40479474202777e-12	0.256437573775529	0.204	0.073	1.61219892352958e-07	304	0.494471565509494	1.09403387360027	1.25887751025166	1.66747365581221	2.81704760769823	1.40514793364048	0.408991862761384	1490	10	0.7400931017175	0.777831776439448	0.996113078296749	1.32344496754583	1.55156609912805	1.05701037114911	0.284657513451483	137
TAP1	1.41533770781682e-06	-0.282410405715143	0.362	0.599	0.0518027754438035	539	0.596779385110497	1.0682914611051	1.19921061401469	1.47785323183616	2.98731654613866	1.29073503267369	0.316440125063145	1490	82	0.603383587808824	0.989239731520323	1.2223241154124	1.61845859216003	2.25215717323341	1.31002294390472	0.397023144795753	137
TPM4	3.50967693782013e-07	-0.327753164309715	0.265	0.526	0.0128457685601155	395	0.494471565509494	1.06051667277896	1.18452001371949	1.48551728992285	2.84534274510819	1.29875398882857	0.352990895732971	1490	72	0.428914640968954	0.913563325352825	1.23567728775007	1.66234921577524	2.49488817593472	1.30753969113628	0.44853644574183	137
TRAF3IP3	5.16720186907119e-06	-0.254140723691215	0.493	0.708	0.189124755609875	734	0.607807206265951	1.09887902646644	1.28709904368738	1.66895739931668	2.65702427240858	1.3952688030056	0.383745876772788	1490	97	0.603383587808824	0.989239731520323	1.39990981749437	1.77467418506076	2.67907375206793	1.42982346343155	0.495303662716134	137
TRIP12	4.50562515989936e-06	-0.256614858299011	0.254	0.511	0.164910386477476	379	0.494471565509494	1.02204966931282	1.16892308098729	1.46871393281431	3.00629112562434	1.27157300190831	0.351044051290137	1490	70	0.707030621198177	0.923979119172879	1.09094270194134	1.32172834063543	1.90764955184506	1.13725162938773	0.30249361659579	137
VPS13C	3.59435009560422e-06	-0.252547917995131	0.487	0.715	0.13155680784921	725	0.573841904881098	1.09754675846607	1.34802503338647	1.66965677242715	3.14016114678815	1.42082812656092	0.41377651679894	1490	98	0.7400931017175	1.0104092531462	1.35000390752565	1.74832268440137	2.66756327108501	1.4188054780587	0.467705659823911	137
XBP1	3.81932153006476e-06	-0.261813409843024	0.423	0.65	0.1397909873219	631	0.395170302564178	1.0745388482917	1.21849288821875	1.59850757551243	2.7590063600143	1.34527164082919	0.369454120295769	1490	89	0.712281598306831	1.0104092531462	1.31153428591078	1.59217069040931	2.37503047324819	1.3577735668234	0.420756680787349	137
XIST	8.62913791420248e-72	0.515438260788744	0.216	0	3.15835076797725e-67	322	0.707708684500187	1.48534013959206	1.95392445390452	2.40995170183943	4.01310387127443	1.98710612915957	0.671804391354124	1490	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZC3H13	1.28438958134773e-05	-0.253873915047223	0.324	0.577	0.470099430669084	483	0.619778579974102	1.08519458267762	1.24302751679112	1.6103190757975	2.53676620219489	1.35486398253426	0.345414821114325	1490	79	0.603383587808824	0.905456272648076	1.17965979520657	1.46397525523923	2.50644480133913	1.24184746508036	0.413828940264587	137
