baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,gene_id
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)P
0.05820625,0.0,4.4073563,0.2541194,0.7994033,1.0,Double.KDKO vs Wildtype,tK(UUU)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(UUU)G1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(UUU)G2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(UUU)K
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(UUU)L
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(UUU)O
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(UUU)P
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(UUU)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)A
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)C
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)G1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)G2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)G3
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)K
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)L
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)M
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(CAA)N
0.31308055,0.0,3.521039,0.032874644,0.97377455,1.0,Double.KDKO vs Wildtype,tL(GAG)G
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAA)B1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAA)B2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAA)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAA)J
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAA)K
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAA)L
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAA)N
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAA)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAG)J
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAG)L1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tL(UAG)L2
327.20178,0.0,0.32301456,-0.09169697,0.92693883,1.0,Double.KDKO vs Wildtype,TLC1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)C
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)E
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)J1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)J2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)J3
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)M
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)O1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)O2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)P
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)Q1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tM(CAU)Q2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)C
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)F
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)G
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)K
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)L
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)N1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)N2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)O1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)O2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)P
0.0,0.0,,,,,Double.KDKO vs Wildtype,tN(GUU)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(AGG)C
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(AGG)N
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)A
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)F
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)H
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)L
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)M
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)N1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)N2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)O1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)O2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)O3
0.0,0.0,,,,,Double.KDKO vs Wildtype,tP(UGG)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tQ(CUG)M
0.0,0.0,,,,,Double.KDKO vs Wildtype,tQ(UUG)B
0.0,0.0,,,,,Double.KDKO vs Wildtype,tQ(UUG)C
