	37_10_Double.KDKO_r1	37_10_MSN24.KO_r3	37_10_MSN24.KO_r1	37_10_Double.KDKO_r3	37_10_MSN24.KO_r2	37_10_Double.KDKO_r2	37_10_HSF1.KD_r1	37_10_Wildtype_r3	37_10_Wildtype_r1	37_10_HSF1.KD_r3	37_10_Wildtype_r2	37_10_HSF1.KD_r2
YKL145W-A	0	0	0	0	0	0	0	0	0	0	0	0
YKL146W	2017	1728	3464	1891	2671	2236	3042	3707	1854	2621	1528	4127
YKL147C	7	0	4	4	4	7	5	7	1	2	6	9
YKL148C	4725	2544	4766	4728	3691	4091	7827	3665	3863	8608	3629	13886
YKL149C	189	238	106	238	80	111	74	19	28	73	30	164
YKL150W	794	1100	828	1187	756	729	3963	6496	1741	5020	2933	11891
YKL151C	74	45	54	33	57	31	3337	1470	737	2605	1006	4247
YKL152C	24082	37704	35063	24307	30268	17226	18330	12347	14046	12563	11115	24695
YKL153W	1	2	2	1	3	3	8	3	2	0	0	4
YKL154W	74	133	73	171	57	60	45	13	18	26	22	86
YKL155C	317	262	153	363	135	195	252	96	67	166	90	404
YKL156C-A	0	0	0	0	0	0	0	0	1	0	0	0
YKL156W	235	203	143	409	144	182	132	27	45	100	97	270
YKL157W	1313	1592	1779	1783	1360	1196	1870	1593	1062	1586	801	2430
YKL159C	205	149	219	205	215	215	626	416	187	239	253	606
YKL160W	35	138	29	92	25	18	30	8	3	16	17	52
YKL161C	238	483	190	544	217	248	111	75	35	78	58	222
YKL162C	57	114	70	107	58	55	206	316	89	188	87	372
YKL162C-A	10	16	23	33	20	15	27	31	22	54	46	81
YKL163W	481	723	446	1374	404	492	1557	2219	547	3862	2860	7843
YKL164C	9813	7243	18831	12052	16305	18198	20477	34592	13711	13619	16288	28198
YKL165C	1463	1116	1096	2059	957	1720	831	709	303	589	265	1313
YKL165C-A	1	1	0	0	0	0	0	0	0	0	0	0
YKL166C	190	105	77	159	91	153	99	50	57	70	39	179
YKL167C	176	318	145	315	130	146	229	176	82	159	147	458
YKL168C	606	402	542	421	541	583	1166	1207	657	855	518	1672
YKL169C	12	13	13	24	11	15	26	24	13	25	6	37
YKL170W	393	346	240	332	245	188	389	97	91	194	207	534
YKL171W	232	347	355	319	258	281	669	797	338	438	241	619
YKL172W	40	4	3	53	0	25	12	1	2	5	3	17
YKL173W	211	90	111	186	108	203	246	159	102	178	35	228
YKL174C	313	222	239	506	188	320	290	92	122	341	69	403
YKL175W	1360	1422	2211	1870	1863	1489	2236	2334	1023	1464	895	2178
YKL176C	893	577	922	1096	681	902	1142	651	538	701	253	914
YKL177W	0	0	2	0	0	2	3	2	0	1	3	3
YKL178C	758	678	878	1033	683	650	1507	622	442	642	192	964
YKL179C	229	247	155	231	107	160	181	111	94	146	71	249
YKL180W	2994	2383	2898	3680	2496	2890	4432	1957	2122	2459	530	3243
YKL181W	918	625	502	1413	365	601	738	167	192	467	136	811
YKL182W	17522	11248	18263	22218	13637	19060	15331	4475	6035	7794	2629	12194
YKL183C-A	0	0	0	1	1	0	0	0	0	0	0	0
YKL183W	268	111	175	148	179	189	186	55	65	121	69	261
YKL184W	1909	1585	1898	2156	1283	1362	1935	1158	885	1036	434	2110
YKL185W	1799	2019	2469	2736	1834	1840	3704	3320	1274	1538	1212	3112
YKL186C	908	574	546	662	521	760	827	768	312	414	405	1361
YKL187C	495	340	624	508	644	685	1598	5756	730	3176	1883	4305
YKL188C	460	400	307	334	316	323	343	199	159	267	110	534
YKL189W	245	254	158	261	185	253	553	915	234	409	276	929
YKL190W	43	118	29	75	23	7	15	6	2	22	9	42
YKL191W	264	117	224	300	175	238	480	192	162	222	95	343
YKL192C	2440	2320	3469	2609	2683	2576	4725	7667	2972	4026	2644	7460
YKL193C	389	498	351	478	390	373	808	1170	375	626	601	2000
YKL194C	253	322	224	349	192	192	226	130	128	328	106	545
YKL195W	689	1180	703	842	483	427	1164	583	395	585	385	1316
YKL196C	182	545	190	362	155	137	99	36	48	96	69	224
YKL197C	198	181	221	184	181	143	214	66	78	138	56	175
YKL198C	2242	623	2300	1463	1767	2409	5120	1470	1565	1407	636	1431
YKL201C	940	568	480	960	403	946	1175	1057	428	680	215	1222
YKL202W	0	0	0	0	0	0	1	0	0	0	0	0
YKL203C	717	655	823	843	642	592	705	261	366	392	180	644
YKL204W	882	866	1320	1038	1307	1198	2120	2470	1034	1067	1232	2259
YKL205W	603	283	269	838	231	770	781	362	261	343	109	629
YKL206C	254	428	185	507	173	273	155	40	61	139	80	408
YKL207W	541	760	714	796	668	402	595	100	258	421	186	491
YKL208W	136	121	124	92	115	125	80	54	45	83	51	211
YKL209C	186	234	176	300	142	158	172	83	86	112	79	256
YKL210W	2057	2470	3777	1999	3080	1744	2508	2698	1941	1869	1256	2665
YKL211C	1730	1296	1974	1487	1706	1630	1680	828	868	922	570	1902
YKL212W	1634	617	1009	1252	851	1285	1775	697	721	1114	308	1639
YKL213C	621	532	414	692	317	385	452	203	193	392	176	664
YKL214C	337	235	232	258	206	156	328	85	102	129	86	280
YKL215C	573	507	681	650	519	458	754	175	294	417	182	514
YKL216W	450	310	276	659	216	545	228	151	110	174	62	325
YKL217W	196	114	198	205	103	133	381	296	123	556	120	402
YKL218C	286	107	216	136	212	220	231	51	87	196	102	327
YKL219W	196	189	223	251	209	179	246	120	104	185	50	186
YKL220C	88	47	80	95	39	65	75	47	42	102	12	86
YKL221W	9	9	12	23	16	8	12	12	11	35	10	34
YKL222C	309	388	349	613	266	354	469	377	199	373	168	602
YKL223W	0	0	0	0	0	0	0	0	0	0	0	0
YKL224C	0	0	0	0	0	0	0	0	0	0	0	0
YKL225W	0	0	0	0	0	0	0	0	0	0	0	0
YKR001C	1409	2103	1951	2190	1686	1576	1574	1717	987	1482	877	2502
YKR002W	326	484	337	488	249	254	310	192	131	226	153	451
YKR003W	623	708	544	696	484	496	682	509	349	472	226	919
YKR004C	98	184	86	201	63	65	96	59	38	76	27	141
YKR005C	103	62	81	83	49	62	141	45	37	104	29	101
YKR006C	219	322	159	363	127	132	181	73	61	146	95	352
